ID,Название задачи,Статус,ID проекта
167,Task 167,В процессе,6703
168,Task 168,Не начата,6142
169,Task 169,Завершена,1851
170,Task 170,В процессе,1516
171,Task 171,Завершена,9225
172,Task 172,В процессе,6188
173,Task 173,Не начата,695
174,Task 174,Завершена,4113
175,Task 175,Не начата,6975
176,Task 176,Не начата,8842
177,Task 177,Завершена,9692
178,Task 178,Не начата,1349
179,Task 179,Не начата,3810
180,Task 180,В процессе,5356
181,Task 181,Завершена,1778
182,Task 182,Завершена,6028
183,Task 183,Не начата,8066
184,Task 184,Завершена,4144
185,Task 185,В процессе,9656
186,Task 186,Завершена,6691
187,Task 187,Завершена,9493
188,Task 188,Завершена,405
189,Task 189,Завершена,7132
190,Task 190,Завершена,9750
191,Task 191,Не начата,2292
192,Task 192,В процессе,3439
193,Task 193,Завершена,6326
194,Task 194,Завершена,5875
195,Task 195,Не начата,3329
196,Task 196,В процессе,2356
197,Task 197,В процессе,4644
198,Task 198,В процессе,464
199,Task 199,Завершена,8185
200,Task 200,Завершена,3833
201,Task 201,В процессе,6179
202,Task 202,В процессе,9439
203,Task 203,В процессе,2158
204,Task 204,В процессе,2305
205,Task 205,Завершена,8029
206,Task 206,Не начата,5263
207,Task 207,Не начата,8322
208,Task 208,В процессе,9447
209,Task 209,В процессе,2185
210,Task 210,Не начата,3186
211,Task 211,В процессе,4870
212,Task 212,Завершена,3176
213,Task 213,В процессе,95
214,Task 214,В процессе,5976
215,Task 215,Завершена,6405
216,Task 216,Не начата,8641
217,Task 217,В процессе,20
218,Task 218,Завершена,337
219,Task 219,Не начата,3673
220,Task 220,Завершена,7520
221,Task 221,Не начата,6407
222,Task 222,Завершена,9096
223,Task 223,Не начата,8122
224,Task 224,В процессе,8653
225,Task 225,В процессе,4430
226,Task 226,Завершена,3956
227,Task 227,Завершена,8197
228,Task 228,В процессе,4756
229,Task 229,Не начата,727
230,Task 230,Не начата,5542
231,Task 231,Не начата,9724
232,Task 232,Завершена,3188
233,Task 233,Не начата,4993
234,Task 234,Не начата,6647
235,Task 235,Завершена,8855
236,Task 236,Завершена,1361
237,Task 237,В процессе,9216
238,Task 238,Не начата,4421
239,Task 239,В процессе,8247
240,Task 240,Завершена,2796
241,Task 241,Не начата,6675
242,Task 242,В процессе,6907
243,Task 243,Не начата,6212
244,Task 244,В процессе,2183
245,Task 245,Завершена,3958
246,Task 246,Завершена,5732
247,Task 247,Завершена,5064
248,Task 248,В процессе,3963
249,Task 249,Завершена,584
250,Task 250,Не начата,620
251,Task 251,Завершена,6397
252,Task 252,Завершена,3776
253,Task 253,Завершена,7291
254,Task 254,Не начата,4401
255,Task 255,В процессе,3744
256,Task 256,В процессе,8911
257,Task 257,В процессе,9812
258,Task 258,Завершена,5067
259,Task 259,Завершена,4588
260,Task 260,Не начата,9507
261,Task 261,Не начата,5722
262,Task 262,В процессе,6284
263,Task 263,Завершена,2064
264,Task 264,В процессе,8831
265,Task 265,В процессе,4568
266,Task 266,Завершена,2038
267,Task 267,В процессе,8113
268,Task 268,В процессе,6278
269,Task 269,Не начата,2069
270,Task 270,Завершена,9112
271,Task 271,Завершена,4031
272,Task 272,Не начата,7637
273,Task 273,В процессе,6299
274,Task 274,Не начата,5670
275,Task 275,Не начата,1361
276,Task 276,Не начата,5982
277,Task 277,Не начата,4345
278,Task 278,Завершена,5172
279,Task 279,Не начата,4125
280,Task 280,Не начата,8257
281,Task 281,В процессе,5402
282,Task 282,В процессе,7278
283,Task 283,В процессе,7192
284,Task 284,В процессе,8506
285,Task 285,Не начата,3666
286,Task 286,Не начата,3447
287,Task 287,В процессе,5614
288,Task 288,Завершена,3103
289,Task 289,В процессе,7878
290,Task 290,В процессе,4644
291,Task 291,Не начата,7945
292,Task 292,Завершена,5330
293,Task 293,В процессе,2003
294,Task 294,Не начата,3459
295,Task 295,В процессе,2666
296,Task 296,В процессе,5813
297,Task 297,В процессе,6660
298,Task 298,Не начата,9227
299,Task 299,Не начата,669
300,Task 300,В процессе,4628
301,Task 301,Завершена,6733
302,Task 302,Не начата,5191
303,Task 303,Не начата,3630
304,Task 304,Не начата,9544
305,Task 305,Завершена,2417
306,Task 306,Не начата,5075
307,Task 307,В процессе,9985
308,Task 308,Не начата,2603
309,Task 309,В процессе,5704
310,Task 310,Завершена,2830
311,Task 311,В процессе,6594
312,Task 312,В процессе,559
313,Task 313,Завершена,530
314,Task 314,Не начата,2289
315,Task 315,В процессе,1782
316,Task 316,Завершена,2066
317,Task 317,Не начата,8159
318,Task 318,Завершена,8837
319,Task 319,В процессе,3393
320,Task 320,Завершена,221
321,Task 321,Не начата,307
322,Task 322,Завершена,6632
323,Task 323,Завершена,9516
324,Task 324,Не начата,4015
325,Task 325,Завершена,9111
326,Task 326,Завершена,1849
327,Task 327,Не начата,7081
328,Task 328,В процессе,7305
329,Task 329,В процессе,5764
330,Task 330,Завершена,2497
331,Task 331,Не начата,2539
332,Task 332,Завершена,9741
333,Task 333,В процессе,7458
334,Task 334,Завершена,2901
335,Task 335,Не начата,3892
336,Task 336,В процессе,936
337,Task 337,Не начата,3951
338,Task 338,Не начата,6801
339,Task 339,В процессе,5491
340,Task 340,Завершена,1526
341,Task 341,Завершена,2913
342,Task 342,Завершена,3465
343,Task 343,В процессе,5577
344,Task 344,Завершена,6764
345,Task 345,Завершена,7975
346,Task 346,Не начата,6201
347,Task 347,Завершена,1158
348,Task 348,Завершена,8348
349,Task 349,В процессе,551
350,Task 350,В процессе,5907
351,Task 351,В процессе,2770
352,Task 352,Завершена,6491
353,Task 353,В процессе,3117
354,Task 354,Завершена,3539
355,Task 355,Завершена,771
356,Task 356,В процессе,6503
357,Task 357,Не начата,9385
358,Task 358,В процессе,1390
359,Task 359,Не начата,5011
360,Task 360,Не начата,3653
361,Task 361,Не начата,5178
362,Task 362,Не начата,6873
363,Task 363,Завершена,774
364,Task 364,Завершена,1738
365,Task 365,Завершена,1127
366,Task 366,В процессе,7110
367,Task 367,Завершена,8532
368,Task 368,Завершена,5847
369,Task 369,Не начата,8053
370,Task 370,В процессе,7159
371,Task 371,Завершена,7010
372,Task 372,Не начата,2880
373,Task 373,В процессе,4647
374,Task 374,Завершена,4713
375,Task 375,Не начата,2129
376,Task 376,Завершена,2284
377,Task 377,Завершена,7820
378,Task 378,В процессе,1407
379,Task 379,В процессе,8179
380,Task 380,В процессе,1438
381,Task 381,В процессе,3254
382,Task 382,Завершена,2012
383,Task 383,Завершена,6511
384,Task 384,В процессе,475
385,Task 385,Не начата,7204
386,Task 386,Завершена,2327
387,Task 387,В процессе,7380
388,Task 388,В процессе,9350
389,Task 389,В процессе,6917
390,Task 390,Не начата,6584
391,Task 391,Не начата,7545
392,Task 392,Не начата,6406
393,Task 393,В процессе,4937
394,Task 394,В процессе,6451
395,Task 395,В процессе,9441
396,Task 396,В процессе,1196
397,Task 397,Не начата,943
398,Task 398,В процессе,7064
399,Task 399,В процессе,2797
400,Task 400,В процессе,1394
401,Task 401,Завершена,5152
402,Task 402,В процессе,7325
403,Task 403,Не начата,9353
404,Task 404,Завершена,8968
405,Task 405,Завершена,8985
406,Task 406,Не начата,8924
407,Task 407,Завершена,9699
408,Task 408,Не начата,1584
409,Task 409,Завершена,83
410,Task 410,Завершена,9022
411,Task 411,В процессе,1560
412,Task 412,В процессе,530
413,Task 413,Завершена,3676
414,Task 414,Завершена,1668
415,Task 415,Завершена,8824
416,Task 416,В процессе,8939
417,Task 417,В процессе,3043
418,Task 418,В процессе,9528
419,Task 419,В процессе,5911
420,Task 420,Завершена,4345
421,Task 421,Не начата,6693
422,Task 422,Не начата,3670
423,Task 423,Завершена,8282
424,Task 424,Не начата,7130
425,Task 425,Завершена,6936
426,Task 426,В процессе,2044
427,Task 427,В процессе,5447
428,Task 428,Не начата,1633
429,Task 429,Завершена,6154
430,Task 430,Завершена,9127
431,Task 431,Завершена,8327
432,Task 432,В процессе,354
433,Task 433,Завершена,5575
434,Task 434,Не начата,9859
435,Task 435,В процессе,9419
436,Task 436,В процессе,5964
437,Task 437,Не начата,4468
438,Task 438,В процессе,7209
439,Task 439,Завершена,8685
440,Task 440,Завершена,1921
441,Task 441,Завершена,2573
442,Task 442,Не начата,7812
443,Task 443,Не начата,7476
444,Task 444,Не начата,4647
445,Task 445,Завершена,1907
446,Task 446,В процессе,6628
447,Task 447,В процессе,5400
448,Task 448,В процессе,5317
449,Task 449,Завершена,6289
450,Task 450,Завершена,1360
451,Task 451,Не начата,1193
452,Task 452,В процессе,3700
453,Task 453,Не начата,4290
454,Task 454,Не начата,894
455,Task 455,Завершена,775
456,Task 456,Не начата,7320
457,Task 457,Завершена,4569
458,Task 458,Завершена,5695
459,Task 459,Завершена,8427
460,Task 460,Завершена,2518
461,Task 461,Не начата,2874
462,Task 462,В процессе,1481
463,Task 463,Не начата,5177
464,Task 464,Завершена,7334
465,Task 465,Не начата,3759
466,Task 466,В процессе,5722
467,Task 467,Не начата,7573
468,Task 468,Завершена,5715
469,Task 469,Не начата,5513
470,Task 470,Завершена,82
471,Task 471,Не начата,5193
472,Task 472,Не начата,5046
473,Task 473,В процессе,1286
474,Task 474,Завершена,9819
475,Task 475,В процессе,6916
476,Task 476,Не начата,7897
477,Task 477,Завершена,3673
478,Task 478,Завершена,2615
479,Task 479,Не начата,5981
480,Task 480,В процессе,3039
481,Task 481,В процессе,8171
482,Task 482,Завершена,9060
483,Task 483,Завершена,9173
484,Task 484,Не начата,3390
485,Task 485,Не начата,55
486,Task 486,Завершена,5414
487,Task 487,Не начата,2937
488,Task 488,В процессе,2714
489,Task 489,В процессе,779
490,Task 490,В процессе,5598
491,Task 491,В процессе,2184
492,Task 492,Завершена,4061
493,Task 493,Завершена,741
494,Task 494,Не начата,1313
495,Task 495,Не начата,3958
496,Task 496,Завершена,304
497,Task 497,Завершена,5410
498,Task 498,Завершена,32
499,Task 499,Не начата,4453
500,Task 500,Завершена,4880
501,Task 501,Завершена,9782
502,Task 502,Не начата,5327
503,Task 503,В процессе,6393
504,Task 504,В процессе,5729
505,Task 505,Не начата,4879
506,Task 506,В процессе,7859
507,Task 507,В процессе,3188
508,Task 508,Не начата,2271
509,Task 509,В процессе,7662
510,Task 510,Завершена,6187
511,Task 511,Завершена,7959
512,Task 512,Не начата,3205
513,Task 513,Завершена,5650
514,Task 514,Не начата,3501
515,Task 515,В процессе,8492
516,Task 516,В процессе,9071
517,Task 517,Завершена,3872
518,Task 518,Не начата,260
519,Task 519,В процессе,4642
520,Task 520,Завершена,2653
521,Task 521,Не начата,9630
522,Task 522,Завершена,5760
523,Task 523,Завершена,9471
524,Task 524,Не начата,3829
525,Task 525,В процессе,479
526,Task 526,Не начата,8826
527,Task 527,Завершена,2872
528,Task 528,В процессе,7938
529,Task 529,Завершена,9235
530,Task 530,В процессе,3111
531,Task 531,Завершена,2830
532,Task 532,В процессе,3744
533,Task 533,В процессе,916
534,Task 534,В процессе,3246
535,Task 535,Не начата,5554
536,Task 536,Не начата,282
537,Task 537,Завершена,103
538,Task 538,Завершена,601
539,Task 539,Завершена,3304
540,Task 540,Не начата,9503
541,Task 541,Завершена,4655
542,Task 542,Не начата,6677
543,Task 543,Не начата,5920
544,Task 544,Завершена,627
545,Task 545,В процессе,9842
546,Task 546,В процессе,5793
547,Task 547,Завершена,9491
548,Task 548,В процессе,2804
549,Task 549,Завершена,7052
550,Task 550,Завершена,7134
551,Task 551,Завершена,885
552,Task 552,Не начата,2613
553,Task 553,Не начата,5044
554,Task 554,Завершена,7121
555,Task 555,В процессе,9092
556,Task 556,Не начата,702
557,Task 557,Завершена,574
558,Task 558,Завершена,3294
559,Task 559,В процессе,7015
560,Task 560,В процессе,518
561,Task 561,Не начата,213
562,Task 562,В процессе,9955
563,Task 563,Завершена,6769
564,Task 564,В процессе,9037
565,Task 565,Не начата,6030
566,Task 566,Не начата,4020
567,Task 567,В процессе,9278
568,Task 568,Завершена,8218
569,Task 569,В процессе,5485
570,Task 570,Не начата,2142
571,Task 571,Завершена,2540
572,Task 572,Завершена,4808
573,Task 573,В процессе,5393
574,Task 574,Завершена,8580
575,Task 575,Завершена,1960
576,Task 576,Не начата,4538
577,Task 577,В процессе,5610
578,Task 578,Не начата,1902
579,Task 579,Завершена,2766
580,Task 580,Не начата,5622
581,Task 581,Завершена,6162
582,Task 582,Завершена,4604
583,Task 583,Не начата,3370
584,Task 584,В процессе,8241
585,Task 585,В процессе,5846
586,Task 586,В процессе,1953
587,Task 587,Завершена,8104
588,Task 588,В процессе,8429
589,Task 589,Завершена,7370
590,Task 590,В процессе,8819
591,Task 591,Не начата,867
592,Task 592,В процессе,4590
593,Task 593,Не начата,3159
594,Task 594,Завершена,6646
595,Task 595,В процессе,8024
596,Task 596,Не начата,5821
597,Task 597,Не начата,6358
598,Task 598,Завершена,2157
599,Task 599,Завершена,7684
600,Task 600,Завершена,8553
601,Task 601,В процессе,7564
602,Task 602,В процессе,2384
603,Task 603,Завершена,8146
604,Task 604,В процессе,5883
605,Task 605,Не начата,3034
606,Task 606,В процессе,5022
607,Task 607,Завершена,7972
608,Task 608,В процессе,3283
609,Task 609,Завершена,1221
610,Task 610,Не начата,879
611,Task 611,Завершена,118
612,Task 612,Завершена,5921
613,Task 613,Не начата,8568
614,Task 614,Завершена,1734
615,Task 615,Завершена,7578
616,Task 616,Не начата,9973
617,Task 617,В процессе,9626
618,Task 618,Завершена,9275
619,Task 619,В процессе,6693
620,Task 620,Завершена,2389
621,Task 621,Не начата,2270
622,Task 622,Не начата,649
623,Task 623,В процессе,7203
624,Task 624,В процессе,5750
625,Task 625,В процессе,408
626,Task 626,Завершена,2481
627,Task 627,В процессе,8513
628,Task 628,Завершена,4341
629,Task 629,Не начата,4615
630,Task 630,Не начата,3611
631,Task 631,Не начата,5593
632,Task 632,Не начата,9609
633,Task 633,Завершена,868
634,Task 634,В процессе,8301
635,Task 635,Завершена,6882
636,Task 636,В процессе,6641
637,Task 637,В процессе,1529
638,Task 638,В процессе,7346
639,Task 639,Завершена,8374
640,Task 640,Завершена,5460
641,Task 641,Завершена,6367
642,Task 642,Не начата,4056
643,Task 643,Завершена,2669
644,Task 644,Не начата,2503
645,Task 645,Не начата,8232
646,Task 646,Завершена,6558
647,Task 647,В процессе,3009
648,Task 648,В процессе,2452
649,Task 649,Завершена,7435
650,Task 650,Не начата,4743
651,Task 651,Не начата,4694
652,Task 652,В процессе,613
653,Task 653,Завершена,4049
654,Task 654,Завершена,4949
655,Task 655,Не начата,578
656,Task 656,Завершена,4816
657,Task 657,Не начата,7585
658,Task 658,В процессе,3546
659,Task 659,Не начата,5117
660,Task 660,Не начата,7280
661,Task 661,В процессе,6651
662,Task 662,В процессе,4487
663,Task 663,Завершена,9588
664,Task 664,Завершена,6731
665,Task 665,Завершена,430
666,Task 666,Завершена,9489
667,Task 667,Завершена,6866
668,Task 668,В процессе,1516
669,Task 669,Не начата,145
670,Task 670,Не начата,4459
671,Task 671,Не начата,7704
672,Task 672,Завершена,3764
673,Task 673,Завершена,3512
674,Task 674,Завершена,9375
675,Task 675,Завершена,3743
676,Task 676,Завершена,9634
677,Task 677,Завершена,2914
678,Task 678,В процессе,5008
679,Task 679,Завершена,585
680,Task 680,Завершена,2888
681,Task 681,Завершена,3790
682,Task 682,Завершена,5409
683,Task 683,Завершена,8286
684,Task 684,Не начата,6875
685,Task 685,Завершена,9642
686,Task 686,Не начата,5566
687,Task 687,Не начата,8855
688,Task 688,Завершена,4832
689,Task 689,В процессе,3077
690,Task 690,В процессе,7444
691,Task 691,В процессе,7271
692,Task 692,В процессе,6917
693,Task 693,Завершена,8173
694,Task 694,Не начата,9790
695,Task 695,В процессе,4824
696,Task 696,В процессе,9188
697,Task 697,Не начата,6918
698,Task 698,В процессе,3959
699,Task 699,Не начата,8897
700,Task 700,Не начата,6974
701,Task 701,Не начата,298
702,Task 702,Не начата,7995
703,Task 703,Не начата,7854
704,Task 704,Не начата,830
705,Task 705,В процессе,4120
706,Task 706,Не начата,8555
707,Task 707,Завершена,3492
708,Task 708,Не начата,5856
709,Task 709,Завершена,3580
710,Task 710,В процессе,1413
711,Task 711,Не начата,8116
712,Task 712,В процессе,4990
713,Task 713,Завершена,4063
714,Task 714,В процессе,1394
715,Task 715,Не начата,2307
716,Task 716,Не начата,6400
717,Task 717,Не начата,7907
718,Task 718,Не начата,9215
719,Task 719,Завершена,3849
720,Task 720,Завершена,4985
721,Task 721,В процессе,4598
722,Task 722,Не начата,1187
723,Task 723,Не начата,8864
724,Task 724,Завершена,8847
725,Task 725,Не начата,8215
726,Task 726,В процессе,3362
727,Task 727,В процессе,1591
728,Task 728,В процессе,7634
729,Task 729,В процессе,2545
730,Task 730,Не начата,9282
731,Task 731,Не начата,1279
732,Task 732,Завершена,8595
733,Task 733,Не начата,1072
734,Task 734,В процессе,3750
735,Task 735,В процессе,1416
736,Task 736,Завершена,6965
737,Task 737,Не начата,3702
738,Task 738,Завершена,8057
739,Task 739,Завершена,330
740,Task 740,Завершена,3137
741,Task 741,В процессе,1323
742,Task 742,В процессе,6767
743,Task 743,В процессе,4482
744,Task 744,В процессе,5528
745,Task 745,В процессе,1235
746,Task 746,Не начата,3152
747,Task 747,Не начата,6998
748,Task 748,Не начата,3082
749,Task 749,Завершена,7764
750,Task 750,В процессе,1602
751,Task 751,Завершена,8153
752,Task 752,Завершена,8112
753,Task 753,Не начата,6690
754,Task 754,В процессе,4218
755,Task 755,В процессе,590
756,Task 756,В процессе,5841
757,Task 757,Не начата,7232
758,Task 758,Не начата,9342
759,Task 759,Завершена,5258
760,Task 760,Не начата,7037
761,Task 761,Не начата,9604
762,Task 762,Не начата,6479
763,Task 763,Завершена,349
764,Task 764,Завершена,439
765,Task 765,В процессе,6818
766,Task 766,В процессе,6920
767,Task 767,В процессе,9983
768,Task 768,Не начата,8253
769,Task 769,Не начата,3071
770,Task 770,В процессе,2126
771,Task 771,В процессе,7230
772,Task 772,Не начата,6407
773,Task 773,В процессе,6472
774,Task 774,В процессе,3549
775,Task 775,В процессе,6444
776,Task 776,Не начата,1269
777,Task 777,В процессе,3286
778,Task 778,Завершена,3794
779,Task 779,В процессе,3884
780,Task 780,Завершена,2407
781,Task 781,В процессе,573
782,Task 782,В процессе,597
783,Task 783,Не начата,6695
784,Task 784,Не начата,8500
785,Task 785,В процессе,754
786,Task 786,В процессе,5856
787,Task 787,Не начата,703
788,Task 788,Завершена,3410
789,Task 789,В процессе,3504
790,Task 790,Завершена,7143
791,Task 791,В процессе,2649
792,Task 792,Завершена,2315
793,Task 793,Завершена,2191
794,Task 794,В процессе,2317
795,Task 795,В процессе,2497
796,Task 796,Не начата,9810
797,Task 797,Завершена,8280
798,Task 798,В процессе,7114
799,Task 799,Не начата,6064
800,Task 800,Не начата,7889
801,Task 801,Завершена,5235
802,Task 802,В процессе,1251
803,Task 803,Завершена,6668
804,Task 804,Завершена,1449
805,Task 805,В процессе,2348
806,Task 806,Не начата,8064
807,Task 807,Завершена,8805
808,Task 808,Завершена,1596
809,Task 809,Завершена,7686
810,Task 810,Завершена,6024
811,Task 811,Завершена,8606
812,Task 812,В процессе,8412
813,Task 813,Завершена,568
814,Task 814,Не начата,1167
815,Task 815,Не начата,9011
816,Task 816,Завершена,1838
817,Task 817,Завершена,5148
818,Task 818,Не начата,2369
819,Task 819,Не начата,2105
820,Task 820,В процессе,1507
821,Task 821,В процессе,2721
822,Task 822,В процессе,6041
823,Task 823,Не начата,3339
824,Task 824,Завершена,2041
825,Task 825,Не начата,4374
826,Task 826,Завершена,2577
827,Task 827,Завершена,8696
828,Task 828,Не начата,1074
829,Task 829,В процессе,9823
830,Task 830,В процессе,9566
831,Task 831,Не начата,1303
832,Task 832,Завершена,6631
833,Task 833,В процессе,410
834,Task 834,Не начата,6196
835,Task 835,Не начата,9353
836,Task 836,В процессе,9236
837,Task 837,В процессе,2881
838,Task 838,Не начата,547
839,Task 839,В процессе,8140
840,Task 840,Завершена,9102
841,Task 841,Не начата,6944
842,Task 842,Завершена,8920
843,Task 843,В процессе,464
844,Task 844,В процессе,5795
845,Task 845,Не начата,4339
846,Task 846,Не начата,5423
847,Task 847,Не начата,7575
848,Task 848,В процессе,8415
849,Task 849,Завершена,4921
850,Task 850,Не начата,939
851,Task 851,Завершена,3920
852,Task 852,Не начата,2048
853,Task 853,Завершена,4279
854,Task 854,Не начата,8989
855,Task 855,Завершена,4847
856,Task 856,Не начата,8803
857,Task 857,Завершена,443
858,Task 858,В процессе,3652
859,Task 859,Не начата,1936
860,Task 860,Не начата,6998
861,Task 861,Завершена,1033
862,Task 862,В процессе,5204
863,Task 863,В процессе,8740
864,Task 864,Не начата,5455
865,Task 865,Не начата,8520
866,Task 866,Не начата,5690
867,Task 867,Завершена,7381
868,Task 868,В процессе,8533
869,Task 869,В процессе,3386
870,Task 870,Не начата,553
871,Task 871,Не начата,8153
872,Task 872,Завершена,863
873,Task 873,Не начата,958
874,Task 874,Завершена,9669
875,Task 875,В процессе,9957
876,Task 876,Завершена,8998
877,Task 877,Завершена,240
878,Task 878,Завершена,3289
879,Task 879,Не начата,9217
880,Task 880,Завершена,8712
881,Task 881,В процессе,3984
882,Task 882,Не начата,8721
883,Task 883,В процессе,6688
884,Task 884,Не начата,528
885,Task 885,Не начата,8213
886,Task 886,Завершена,27
887,Task 887,В процессе,537
888,Task 888,Завершена,386
889,Task 889,В процессе,2834
890,Task 890,Завершена,9625
891,Task 891,Не начата,1565
892,Task 892,В процессе,676
893,Task 893,Завершена,1361
894,Task 894,Не начата,5285
895,Task 895,Завершена,8473
896,Task 896,В процессе,6188
897,Task 897,В процессе,5929
898,Task 898,Не начата,5437
899,Task 899,Не начата,3761
900,Task 900,В процессе,8728
901,Task 901,Завершена,3853
902,Task 902,Завершена,7649
903,Task 903,Завершена,1252
904,Task 904,Завершена,1140
905,Task 905,Не начата,174
906,Task 906,Не начата,7163
907,Task 907,Не начата,5841
908,Task 908,В процессе,5210
909,Task 909,Не начата,1248
910,Task 910,Не начата,4054
911,Task 911,Завершена,5779
912,Task 912,Не начата,5805
913,Task 913,Завершена,7948
914,Task 914,В процессе,1741
915,Task 915,В процессе,1079
916,Task 916,В процессе,3702
917,Task 917,Завершена,9280
918,Task 918,В процессе,5438
919,Task 919,Завершена,8232
920,Task 920,Не начата,859
921,Task 921,Завершена,9805
922,Task 922,Не начата,8934
923,Task 923,Завершена,1926
924,Task 924,Завершена,7586
925,Task 925,Завершена,6133
926,Task 926,Не начата,9758
927,Task 927,В процессе,4947
928,Task 928,Не начата,8340
929,Task 929,Не начата,2573
930,Task 930,Завершена,3509
931,Task 931,Не начата,6014
932,Task 932,В процессе,5407
933,Task 933,Не начата,108
934,Task 934,Не начата,7947
935,Task 935,Не начата,6645
936,Task 936,В процессе,6342
937,Task 937,В процессе,1547
